conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1292107363202109440,Sat Aug 08 15:03:02 +0000 2020,0,@jaejungparc ADUH HAHAHHA KETAWA BANGET. : papaku yang itu isi otaknya cuma menjajah...bapakku yang ini isi otaknya dad jokes...dahlah fatherless aja aku,1292114099589877762,,jaejungparc,in,flower field,0,0,0,https://x.com/yeosabng/status/1292114099589877762,1338419670,yeosabng
1291154610498015233,Wed Aug 05 23:30:22 +0000 2020,0,Indonesia darurat fatherless. Kesadaran para Ayah utk mengambil peran dlm pengasuhan anak sangat dibutuhkan.,1291154610498015233,,,in,,0,0,0,https://x.com/triatno_prabowo/status/1291154610498015233,60277352,triatno_prabowo
1290964278950780928,Wed Aug 05 11:59:57 +0000 2020,0,@vickymovick Mana grup WA-nyaaaaa The fatherless ,1290980861924401153,,vickymovick,in,"Jakarta Timur, DKI Jakarta",0,1,0,https://x.com/mightymorphinns/status/1290980861924401153,615090191,mightymorphinns
1290665384719396875,Tue Aug 04 15:20:24 +0000 2020,0,@TidakRewel Karena endonesa merupakan fatherless country,1290668917313032192,,TidakRewel,in,silver city,0,1,0,https://x.com/rendrahajing/status/1290668917313032192,135837551,rendrahajing
1290496520345677824,Tue Aug 04 03:55:21 +0000 2020,0,2017 lalu MENSOS mengatakan Indonesia peringkat 3 dengan predikat fatherless country Surve kecil ini cukup membuktikan sih. Jadi no surprise kalo Indonesia rame bener kasus kekerasan apapun bentuknya.,1290496520345677824,,,in,silver city,0,0,0,https://x.com/rendrahajing/status/1290496520345677824,135837551,rendrahajing
1288758731589578752,Sun Aug 02 19:06:25 +0000 2020,1,@malakmalakmal Inti nya #fatherless dan #motherless pada proses pendidikan seksual ketika anak ada di rentang usia 0-6 tahun anak harus mengenal jelas gendernya apa. Diperkuat jg bonding dgn ayah untuk anak perempuan dan bonding dengan ibu untuk anak laki-laki di masa jelang Aqil Baligh.,1290001020727123970,,yulianti_a3107,in,Bandung,0,0,0,https://x.com/yulianti_a3107/status/1290001020727123970,49904350,yulianti_a3107
1287719166754004992,Mon Jul 27 12:08:56 +0000 2020,0,@angga_ope @ayi_armstrong @FahmiGhi Over parents and fatherless. Maap wes ra misuh meneh tapi mati karo cerai,1287721633977790464,,angga_ope,in,SOC,0,1,0,https://x.com/Superficishal/status/1287721633977790464,288152444,Superficishal
1287401226993168385,Sun Jul 26 15:59:36 +0000 2020,0,@Evilaramadhant1 Dampaknya apa? Gede banget. Dari mulai gagap ngurusin anak sampai yg terparah orang tua gagal menjadi sosok orang tua bagi anak-anaknya. Semakin memperparah fatherless country kalau tidak segera kita putuskan rantai berulang ini. :')),1287417292804861952,,Itsmaryanti,in,"Kulon Progo, Yogyakarta",0,1,0,https://x.com/Itsmaryanti/status/1287417292804861952,1603229250,Itsmaryanti
1285969221881434112,Thu Jul 23 17:27:19 +0000 2020,0,@fierza Contohnya dengan menipu umur dan ipk Bisa keterima atau dengan nyebutin nama orgdalam. Lalu dilain sisi HR jg judging body size dan being Fatherless and with purpose call my mom a filthy widow I guess this is why for a year none of companies call me back (1),1286352205545709568,,fierza,in,,0,1,0,https://x.com/_clarastorm_/status/1286352205545709568,1060883958538240000,_clarastorm_
1285867445538795520,Wed Jul 22 10:01:32 +0000 2020,5,@SKSingh0000 @imra_mra @MensDayOutIndia @rsprasad @Gameof498A @SKSoni1957 @tanu531d @Itsme_VA @swarup1972 @wisehussein @NaveenG23583345 @pkanthi @Ramakant_Gareeb @Keyadas63 @ShivankDixit15 @VijayDe58778609 @VijaykantMotir2 @HumanRightsAct6 @Vaibhav89gandhi @MyNation_Delhi @Mynation_BH @GR_Barbarika @mamtaguptabsnl @InderBirKaur60 @harrsdhusband @TheHaryanavi @a_498a_victim @realgaurang @KrishVerma786 @ManishMGupta @kailashkaushik8 @Anthonydesusa @MADHANMOHANS3 @lovgill @tashuuk @Fathers_Rights @fatherless_sons @DailyMailUK @urtamoghna @MirchiJeeturaaj @rjraunac @vaastavngo @barkhatrehan16 @sifchandigarh @ajayverma2014 @498aT @498anlr @498jwalamukhi @498aweddinggift Indian Men https://t.co/Kf5YjPjiAs,1285877633108996096,https://pbs.twimg.com/media/Edha5FvUcAYxhP8.jpg,VikramArora20,in,,1,1,6,https://x.com/VikramArora20/status/1285877633108996096,1214658974,VikramArora20
